"Time (ms)","Trajectory 1"
"0","-119.5331"
"48","-127.5939"
"96","-135.1901"
"128","-141.9027"
"224","-147.4238"
"256","-151.5573"
"304","-154.2122"
"336","-155.3848"
"384","-155.1174"
"432","-153.4538"
"464","-150.4161"
"512","-146.0164"
"544","-140.2821"
"592","-133.2724"
"640","-125.0731"
"672","-115.7707"
"720","-105.428"
"752","-94.08752"
"800","-81.80281"
"848","-68.66839"
"880","-54.81815"
"928","-40.39664"
"960","-25.54047"
"1008","-10.38328"
"1056","4.931955"
"1088","20.24244"
"1136","35.36706"
"1168","50.12426"
"1216","64.34975"
"1264","77.89773"
"1296","90.62273"
"1344","102.3604"
"1376","112.9325"
"1424","122.1727"
"1472","129.9491"
"1504","136.1727"
"1552","140.7906"
"1584","143.7621"
"1632","145.0329"
"1680","144.5424"
"1712","142.261"
"1760","138.2128"
"1792","132.4623"
"1840","125.0935"
"1888","116.2034"
"1920","105.9095"
"1968","94.35883"
"2016","81.72369"
"2048","68.18311"
"2096","53.90591"
"2128","39.04544"
"2176","23.74818"
"2224","8.179906"
"2256","-7.456587"
"2304","-22.93951"
"2336","-38.06813"
"2384","-52.69004"
"2432","-66.69402"
"2464","-79.97961"
"2512","-92.43297"
"2544","-103.9293"
"2592","-114.3599"
"2640","-123.654"
"2672","-131.7679"
"2720","-138.6612"
"2752","-144.2851"
"2800","-148.5902"
"2848","-151.5364"
"2880","-153.0963"
"2928","-153.2631"
"2960","-152.0581"
"3008","-149.5164"
"3056","-145.6652"
"3088","-140.5202"
"3136","-134.0975"
"3168","-126.4301"
"3216","-117.5792"
"3264","-107.6273"
"3296","-96.66339"
"3344","-84.77229"
"3376","-72.03342"
"3424","-58.53343"
"3472","-44.38187"
"3504","-29.71174"
"3552","-14.66701"
"3584","0.608025"
"3632","15.96455"
"3680","31.2331"
"3712","46.22142"
"3760","60.7385"
"3808","74.6218"
"3840","87.73737"
"3888","99.9502"
"3920","111.0968"
"3968","120.992"
"4016","129.466"
"4048","136.4016"
"4096","141.7358"
"4128","145.4273"
"4176","147.4273"
"4224","147.6818"
"4256","146.1564"
"4304","142.8596"
"4336","137.8457"
"4384","131.1944"
"4432","122.9938"
"4464","113.3451"
"4512","102.3725"
"4544","90.21915"
"4592","77.0434"
"4640","63.02057"
"4672","48.33133"
"4720","33.14665"
"4752","17.63272"
"4800","1.962974"
"4848","-13.67556"
"4880","-29.08039"
"4928","-44.05091"
"4960","-58.41817"
"5008","-72.0502"
"5056","-84.83081"
"5088","-96.65062"
"5136","-107.417"
"5168","-117.059"
"5216","-125.5293"
"5264","-132.8053"
"5296","-138.8719"
"5344","-143.6978"
"5376","-147.2306"
"5424","-149.4144"
"5472","-150.2112"
"5504","-149.6115"
"5552","-147.6288"
"5584","-144.2878"
"5632","-139.6204"
"5680","-133.6668"
"5712","-126.4709"
"5760","-118.0797"
"5808","-108.557"
"5840","-97.98772"
"5888","-86.46107"
"5920","-74.05881"
"5968","-60.86865"
"6016","-46.99717"
"6048","-32.57112"
"6096","-17.73676"
"6128","-2.649785"
"6176","12.53861"
"6224","27.68018"
"6256","42.6162"
"6304","57.17035"
"6336","71.15954"
"6384","84.41304"
"6432","96.7764"
"6465","108.0981"
"6512","118.2249"
"6544","127.0172"
"6592","134.3639"
"6640","140.184"
"6672","144.4206"
"6720","147.0286"
"6752","147.9581"
"6800","147.1516"
"6848","144.5707"
"6880","140.2253"
"6928","134.1809"
"6960","126.5438"
"7008","117.4361"
"7056","106.9831"
"7088","95.31748"
"7136","82.58839"
"7168","68.95709"
"7216","54.5928"
"7264","39.67102"
"7296","24.36248"
"7345","8.829066"
"7376","-6.756576"
"7424","-22.19527"
"7472","-37.27738"
"7504","-51.8165"
"7552","-65.67213"
"7584","-78.74557"
"7632","-90.9512"
"7680","-102.1911"
"7712","-112.3587"
"7760","-121.3614"
"7808","-129.1353"
"7840","-135.6489"
"7888","-140.8947"
"7920","-144.866"
"7968","-147.5366"
"8016","-148.8676"
"8048","-148.8334"
"8096","-147.437"
"8128","-144.6986"
"8176","-140.6429"
"8224","-135.2957"
"8256","-128.6895"
"8304","-120.8729"
"8336","-111.9205"
"8384","-101.9296"
"8432","-90.99463"
"8464","-79.18687"
"8512","-66.565"
"8544","-53.2005"
"8592","-39.19483"
"8640","-24.68638"
"8672","-9.842451"
"8720","5.164551"
"8752","20.17805"
"8800","35.05781"
"8848","49.65675"
"8880","63.79956"
"8928","77.29602"
"8960","89.97186"
"9008","101.6792"
"9056","112.2843"
"9088","121.6516"
"9136","129.6393"
"9168","136.1164"
"9216","140.986"
"9264","144.1942"
"9296","145.7188"
"9344","145.5459"
"9376","143.6537"
"9424","140.0268"
"9472","134.6877"
"9504","127.7108"
"9552","119.2056"
"9584","109.2931"
"9632","98.09866"
"9680","85.76346"
"9712","72.45821"
"9760","58.38292"
"9808","43.74704"
"9840","28.74436"
"9888","13.53607"
"9920","-1.750539"
"9968","-16.99751"
"10016","-32.05478"
"10048","-46.72739"
"10096","-60.80962"
"10128","-74.12805"
"10176","-86.56391"
"10224","-98.04442"
"10256","-108.5104"
"10304","-117.8923"
"10336","-126.1111"
"10384","-133.0965"
"10432","-138.8087"
"10465","-143.2348"
"10512","-146.3571"
"10544","-148.1407"
"10592","-148.5582"
"10640","-147.609"
"10672","-145.3138"
"10720","-141.7081"
"10752","-136.8376"
"10800","-130.7466"
"10848","-123.4673"
"10880","-115.0298"
"10928","-105.486"
"10960","-94.92056"
"11008","-83.43643"
"11056","-71.13448"
"11088","-58.10559"
"11136","-44.43898"
"11168","-30.24212"
"11216","-15.65354"
"11264","-0.8353736"
"11296","14.04816"
"11345","28.84701"
"11376","43.41845"
"11424","57.60793"
"11472","71.24277"
"11504","84.14252"
"11552","96.13596"
"11584","107.0756"
"11632","116.8397"
"11680","125.3166"
"11712","132.3884"
"11760","137.9332"
"11808","141.8466"
"11840","144.0645"
"11888","144.5693"
"11920","143.372"
"11968","140.4893"
"12016","135.9368"
"12048","129.7441"
"12096","121.9808"
"12128","112.7675"
"12176","102.255"
"12224","90.5959"
"12256","77.93787"
"12304","64.4333"
"12336","50.24939"
"12384","35.56653"
"12432","20.56751"
"12464","5.426485"
"12512","-9.693827"
"12544","-24.63492"
"12592","-39.23734"
"12640","-53.34929"
"12672","-66.83783"
"12720","-79.58366"
"12752","-91.46778"
"12800","-102.3719"
"12848","-112.1918"
"12880","-120.8469"
"12928","-128.2765"
"12960","-134.4323"
"13008","-139.2825"
"13056","-142.8168"
"13088","-145.0353"
"13136","-145.9302"
"13168","-145.4899"
"13216","-143.72"
"13264","-140.6429"
"13296","-136.2852"
"13344","-130.6773"
"13376","-123.8573"
"13424","-115.8667"
"13472","-106.756"
"13504","-96.59545"
"13552","-85.46914"
"13584","-73.46679"
"13632","-60.68544"
"13680","-47.23093"
