"Time (ms)","Trajectory 1"
"0","-70.84296"
"32","-74.15535"
"80","-77.23763"
"128","-79.8769"
"192","-81.92536"
"240","-83.29987"
"288","-83.96453"
"336","-83.90659"
"368","-83.11727"
"416","-81.59148"
"448","-79.33797"
"496","-76.38384"
"544","-72.77249"
"576","-68.55755"
"624","-63.79485"
"656","-58.53804"
"704","-52.83851"
"752","-46.74554"
"784","-40.30666"
"832","-33.57238"
"864","-26.60239"
"912","-19.46632"
"960","-12.24364"
"992","-5.026059"
"1040","2.087295"
"1072","9.003655"
"1120","15.64439"
"1168","21.93639"
"1200","27.797"
"1248","33.13418"
"1280","37.86308"
"1328","41.92014"
"1376","45.2671"
"1408","47.88456"
"1456","49.75414"
"1488","50.84388"
"1536","51.1148"
"1584","50.54184"
"1616","49.13049"
"1664","46.91788"
"1712","43.95407"
"1744","40.27833"
"1792","35.91635"
"1824","30.89927"
"1872","25.28196"
"1920","19.14582"
"1952","12.59074"
"2000","5.723305"
"2032","-1.356253"
"2080","-8.562178"
"2128","-15.82025"
"2160","-23.05611"
"2208","-30.18479"
"2240","-37.11471"
"2288","-43.76294"
"2336","-50.06229"
"2368","-55.95774"
"2416","-61.40072"
"2448","-66.34573"
"2496","-70.75224"
"2544","-74.58661"
"2576","-77.81792"
"2624","-80.41427"
"2656","-82.34554"
"2704","-83.59081"
"2752","-84.14411"
"2784","-84.01562"
"2832","-83.22443"
"2864","-81.78286"
"2912","-79.68747"
"2960","-76.92841"
"2992","-73.508"
"3040","-69.45283"
"3072","-64.8105"
"3120","-59.6383"
"3168","-53.99295"
"3200","-47.92697"
"3248","-41.49617"
"3280","-34.77015"
"3328","-27.82998"
"3376","-20.7565"
"3408","-13.62435"
"3456","-6.504267"
"3488","0.5310403"
"3536","7.401813"
"3584","14.02155"
"3616","20.30402"
"3664","26.17059"
"3712","31.5515"
"3744","36.38155"
"3792","40.5944"
"3824","44.11972"
"3872","46.8878"
"3920","48.84219"
"3952","49.95197"
"4000","50.21474"
"4032","49.64854"
"4080","48.27799"
"4128","46.12663"
"4160","43.22153"
"4208","39.59938"
"4240","35.30394"
"4288","30.38099"
"4336","24.87996"
"4368","18.86297"
"4416","12.41403"
"4448","5.636333"
"4496","-1.363292"
"4544","-8.488836"
"4576","-15.65902"
"4624","-22.80244"
"4656","-29.84933"
"4704","-36.72531"
"4752","-43.35183"
"4784","-49.65423"
"4832","-55.56971"
"4864","-61.0473"
"4912","-66.03959"
"4960","-70.49387"
"4992","-74.35445"
"5040","-77.57524"
"5072","-80.13011"
"5120","-82.01547"
"5168","-83.24298"
"5200","-83.82297"
"5248","-83.75454"
"5280","-83.02959"
"5328","-81.63863"
"5376","-79.57446"
"5408","-76.83796"
"5456","-73.44188"
"5488","-69.41273"
"5536","-64.79398"
"5584","-59.64519"
"5616","-54.03466"
"5664","-48.03035"
"5712","-41.69292"
"5744","-35.07457"
"5792","-28.22334"
"5824","-21.19346"
"5872","-14.05777"
"5920","-6.90644"
"5952","0.168079"
"6000","7.080745"
"6032","13.75179"
"6080","20.09857"
"6128","26.031"
"6160","31.46025"
"6208","36.3138"
"6240","40.53806"
"6288","44.08509"
"6336","46.90359"
"6368","48.94486"
"6416","50.17151"
"6448","50.55997"
"6496","50.10365"
"6544","48.8175"
"6576","46.73551"
"6624","43.90026"
"6656","40.35517"
"6704","36.14524"
"6752","31.31963"
"6784","25.93309"
"6832","20.05017"
"6864","13.74775"
"6912","7.108243"
"6960","0.2114939"
"6992","-6.863327"
"7040","-14.03133"
"7072","-21.20065"
"7120","-28.28164"
"7168","-35.19947"
"7200","-41.8915"
"7248","-48.29068"
"7280","-54.3161"
"7328","-59.88259"
"7376","-64.92194"
"7408","-69.39256"
"7456","-73.27005"
"7488","-76.53379"
"7536","-79.15974"
"7584","-81.12098"
"7616","-82.39721"
"7664","-82.98612"
"7712","-82.90141"
"7744","-82.1582"
"7792","-80.76194"
"7824","-78.70807"
"7872","-75.99206"
"7920","-72.62509"
"7952","-68.64317"
"8000","-64.10052"
"8032","-59.05381"
"8080","-53.55079"
"8128","-47.63193"
"8160","-41.34213"
"8208","-34.74092"
"8240","-27.90357"
"8288","-20.91297"
"8336","-13.85045"
"8368","-6.792738"
"8416","0.185572"
"8448","7.009439"
"8496","13.60189"
"8544","19.8811"
"8576","25.76109"
"8624","31.16083"
"8656","36.01002"
"8704","40.24474"
"8752","43.80198"
"8784","46.62178"
"8832","48.65689"
"8864","49.88121"
"8912","50.28724"
"8960","49.875"
"8992","48.64594"
"9040","46.60969"
"9072","43.79504"
"9120","40.25171"
"9168","36.04118"
"9200","31.22578"
"9248","25.86488"
"9280","20.01828"
"9328","13.75262"
"9376","7.146279"
"9408","0.288248"
"9456","-6.730079"
"9488","-13.82289"
"9536","-20.91099"
"9584","-27.91734"
"9616","-34.7628"
"9664","-41.36738"
"9712","-47.65832"
"9744","-53.57746"
"9792","-59.08001"
"9824","-64.12437"
"9872","-68.6608"
"9920","-72.62989"
"9952","-75.97415"
"10000","-78.65365"
"10032","-80.6526"
"10080","-81.97141"
"10128","-82.61375"
"10160","-82.58128"
"10208","-81.87584"
"10240","-80.50143"
"10288","-78.4653"
"10336","-75.78152"
"10368","-72.47196"
"10416","-68.56477"
"10448","-64.09682"
"10496","-59.11841"
"10544","-53.68922"
"10576","-47.86704"
"10624","-41.70182"
"10656","-35.23916"
"10704","-28.52973"
"10752","-21.63719"
"10784","-14.63722"
"10832","-7.611807"
"10864","-0.6461477"
"10912","6.172861"
"10960","12.7575"
"10992","19.01698"
"11040","24.85817"
"11072","30.19535"
"11120","34.95874"
"11168","39.09507"
"11200","42.56439"
"11248","45.33235"
"11280","47.36102"
"11328","48.60892"
"11376","49.04257"
"11408","48.6494"
"11456","47.44175"
"11504","45.44895"
"11536","42.70531"
"11584","39.24828"
"11616","35.12473"
"11664","30.39099"
"11712","25.10806"
"11744","19.3397"
"11792","13.15315"
"11824","6.618202"
"11872","-0.1950143"
"11920","-7.21203"
"11952","-14.34458"
"12000","-21.49298"
"12032","-28.56116"
"12080","-35.466"
"12128","-42.13472"
"12160","-48.49652"
"12208","-54.47742"
"12240","-60.00727"
"12288","-65.03107"
"12336","-69.50806"
"12368","-73.4026"
"12416","-76.68169"
"12448","-79.31773"
"12496","-81.29055"
"12544","-82.5906"
"12576","-83.22037"
"12624","-83.19025"
"12656","-82.50906"
"12704","-81.17713"
"12752","-79.1937"
"12784","-76.57018"
"12832","-73.33282"
"12864","-69.51808"
"12912","-65.16644"
"12960","-60.3129"
"12992","-54.98409"
"13040","-49.21154"
"13072","-43.04685"
"13120","-36.56433"
"13168","-29.85187"
"13200","-22.99435"
"13248","-16.06041"
"13280","-9.107579"
"13328","-2.200513"
"13376","4.578208"
"13408","11.13293"
"13456","17.36818"
"13504","23.19985"
"13536","28.55803"
"13584","33.38299"
"13616","37.6192"
"13664","41.21159"
"13712","44.10763"
"13744","46.26446"
"13792","47.65208"
"13824","48.24753"
"13872","48.03069"
"13920","46.99091"
"13952","45.13696"
"14000","42.49823"
"14032","39.11716"
"14080","35.04322"
"14128","30.33412"
"14160","25.0575"
"14208","19.28966"
"14240","13.11497"
"14288","6.624175"
"14336","-0.09372697"
"14368","-6.963224"
"14416","-13.92254"
"14448","-20.9097"
"14496","-27.85128"
"14544","-34.6621"
"14576","-41.25231"
"14624","-47.53904"
"14656","-53.45547"
"14704","-58.9504"
"14752","-63.97886"
"14784","-68.49232"
"14832","-72.43943"
"14864","-75.77558"
"14912","-78.46815"
"14960","-80.49574"
"14992","-81.84777"
"15040","-82.52192"
"15072","-82.52071"
"15120","-81.85181"
"15168","-80.52761"
"15200","-78.56362"
"15248","-75.9788"
"15280","-72.79295"
"15328","-69.02425"
"15376","-64.69727"
"15408","-59.85141"
"15456","-54.53629"
"15504","-48.8042"
"15536","-42.70873"
"15584","-36.30626"
"15616","-29.66077"
"15664","-22.84796"
"15712","-15.95047"
"15744","-9.047738"
"15792","-2.211383"
"15824","4.4868"
"15872","10.96335"
"15920","17.12502"
"15952","22.88114"
"16000","28.15202"
"16032","32.87109"
"16080","36.98587"
"16128","40.45776"
"16160","43.25603"
"16208","45.34875"
"16240","46.70138"
"16288","47.28485"
"16336","47.08295"
"16368","46.09183"
"16416","44.31685"
"16448","41.77113"
"16496","38.47982"
"16544","34.48922"
"16576","29.86683"
"16624","24.69001"
"16656","19.03536"
"16704","12.97549"
"16752","6.582409"
"16784","-0.07105124"
"16832","-6.912333"
"16864","-13.86558"
"16912","-20.84864"
"16960","-27.77543"
"16992","-34.56014"
"17040","-41.12054"
"17072","-47.37774"
"17120","-53.25829"
"17168","-58.70319"
"17200","-63.67231"
"17248","-68.13571"
"17280","-72.0598"
"17328","-75.39886"
"17376","-78.1019"
"17408","-80.13237"
"17456","-81.48327"
"17504","-82.17376"
"17536","-82.22934"
"17584","-81.66136"
"17616","-80.46441"
"17664","-78.62997"
"17712","-76.15985"
"17744","-73.07159"
"17792","-69.39571"
"17824","-65.16778"
"17872","-60.42185"
"17920","-55.19155"
"17952","-49.52032"
"18000","-43.47025"
"18032","-37.11839"
"18080","-30.54511"
"18128","-23.82598"
"18160","-17.03016"
"18208","-10.22065"
"18240","-3.459945"
"18288","3.179866"
"18336","9.615029"
"18368","15.75642"
"18416","21.51682"
"18448","26.81665"
"18496","31.58537"
"18544","35.76035"
"18576","39.28755"
"18624","42.12452"
"18656","44.24074"
"18704","45.61396"
"18752","46.22457"
"18784","46.05383"
"18832","45.09104"
"18864","43.34209"
"18912","40.83158"
"18960","37.60215"
"18992","33.70954"
"19040","29.21188"
"19072","24.1664"
"19120","18.63717"
"19168","12.69728"
"19200","6.420877"
"19248","-0.1227588"
"19296","-6.869914"
"19328","-13.75795"
"19376","-20.71602"
"19408","-27.6595"
"19456","-34.493"
"19504","-41.11861"
"19536","-47.44683"
"19584","-53.40366"
"19616","-58.92758"
"19664","-63.96208"
"19712","-68.45592"
"19744","-72.37058"
"19792","-75.68195"
"19824","-78.37474"
"19872","-80.43935"
"19920","-81.87177"
"19952","-82.66986"
"20000","-82.82662"
"20032","-82.32877"
"20080","-81.16434"
"20128","-79.33511"
"20160","-76.86232"
"20208","-73.77821"
"20240","-70.11528"
"20288","-65.90718"
"20336","-61.19452"
"20368","-56.02488"
"20416","-50.44915"
"20448","-44.51926"
"20496","-38.29227"
"20544","-31.83665"
"20576","-25.22893"
"20624","-18.54095"
"20656","-11.83305"
"20704","-5.160602"
"20752","1.414324"
"20784","7.814178"
"20832","13.94428"
"20864","19.70304"
"20912","25.0013"
"20960","29.77247"
"20992","33.96312"
"21040","37.52126"
"21072","40.39394"
"21120","42.52947"
"21168","43.88774"
"21200","44.45338"
"21248","44.23353"
"21296","43.2451"
"21328","41.50774"
"21376","39.04224"
"21408","35.87331"
"21456","32.03885"
"21504","27.5955"
"21536","22.61058"
"21584","17.14922"
"21616","11.27235"
"21664","5.044771"
"21712","-1.458773"
"21744","-8.157656"
"21792","-14.97562"
"21824","-21.84219"
"21872","-28.68246"
"21920","-35.4122"
"21952","-41.94291"
"22000","-48.18584"
"22032","-54.05671"
"22080","-59.48687"
"22128","-64.4295"
"22160","-68.8531"
"22208","-72.72997"
"22240","-76.0302"
"22288","-78.72708"
"22336","-80.80338"
"22368","-82.24797"
"22416","-83.05228"
"22448","-83.21062"
"22496","-82.72108"
"22544","-81.58733"
"22576","-79.8183"
"22624","-77.42522"
"22656","-74.42329"
"22704","-70.8364"
"22752","-66.69591"
"22784","-62.03674"
"22832","-56.90114"
"22864","-51.34336"
"22912","-45.42854"
"22960","-39.23011"
"22992","-32.82186"
"23040","-26.26845"
"23072","-19.63016"
"23120","-12.97272"
"23168","-6.36611"
"23200","0.1194432"
"23248","6.413093"
"23296","12.4432"
"23328","18.13775"
"23376","23.42572"
"23408","28.23982"
"23456","32.51711"
"23504","36.19774"
"23536","39.22586"
"23584","41.55212"
"23616","43.13335"
"23664","43.93243"
"23712","43.92553"
"23744","43.11078"
"23792","41.5075"
"23824","39.14668"
"23872","36.06358"
"23920","32.29893"
"23952","27.90229"
"24000","22.93504"
"24032","17.47365"
"24080","11.60502"
"24128","5.413555"
"24160","-1.025399"
"24208","-7.63942"
"24240","-14.35329"
"24288","-21.09206"
"24336","-27.78164"
"24368","-34.34434"
"24416","-40.70228"
"24448","-46.78497"
"24496","-52.52953"
"24544","-57.87806"
"24576","-62.77659"
"24624","-67.17506"
"24656","-71.03177"
"24704","-74.31738"
"24752","-77.01319"
"24784","-79.10555"
"24832","-80.57822"
"24864","-81.41201"
"24912","-81.59588"
"24960","-81.13434"
"24992","-80.0399"
"25040","-78.32294"
"25072","-75.99435"
"25120","-73.07182"
"25168","-69.57704"
"25200","-65.53476"
