"Time (ms)","Trajectory 1"
"0","129.4465"
"32","122.5227"
"112","115.8568"
"160","109.6874"
"208","104.1999"
"240","99.52308"
"288","95.74061"
"320","92.90795"
"368","91.05663"
"416","90.19044"
"448","90.29192"
"496","91.33863"
"528","93.31336"
"576","96.20528"
"624","100.0076"
"656","104.7085"
"704","110.2794"
"736","116.6763"
"784","123.8438"
"832","131.7125"
"864","140.1939"
"912","149.1883"
"944","158.5966"
"992","168.3241"
"1040","178.2762"
"1072","188.3596"
"1120","198.4832"
"1168","208.5561"
"1200","218.4822"
"1248","228.1584"
"1280","237.479"
"1328","246.3398"
"1376","254.6368"
"1408","262.2626"
"1456","269.107"
"1488","275.0644"
"1536","280.0439"
"1584","283.9747"
"1616","286.8097"
"1664","288.5269"
"1696","289.1248"
"1744","288.6121"
"1792","287.0009"
"1824","284.3076"
"1872","280.5563"
"1904","275.7778"
"1952","270.0136"
"2000","263.3245"
"2032","255.7928"
"2080","247.5201"
"2112","238.6209"
"2160","229.2124"
"2208","219.4081"
"2240","209.3199"
"2288","199.062"
"2320","188.7531"
"2368","178.5125"
"2416","168.4519"
"2448","158.6712"
"2496","149.2586"
"2528","140.2943"
"2576","131.8584"
"2624","124.0377"
"2656","116.9189"
"2704","110.5695"
"2736","105.0316"
"2784","100.3352"
"2832","96.51232"
"2864","93.5966"
"2912","91.61462"
"2944","90.57983"
"2992","90.49126"
"3040","91.33617"
"3072","93.09648"
"3120","95.75563"
"3168","99.29841"
"3200","103.705"
"3248","108.9487"
"3280","114.999"
"3328","121.8182"
"3376","129.352"
"3408","137.526"
"3456","146.2549"
"3488","155.4496"
"3536","165.0221"
"3584","174.887"
"3616","184.9555"
"3664","195.1231"
"3696","205.268"
"3744","215.2652"
"3792","224.9967"
"3824","234.3557"
"3872","243.2464"
"3904","251.58"
"3952","259.2684"
"4000","266.222"
"4032","272.3524"
"4080","277.575"
"4112","281.8069"
"4160","284.9726"
"4208","287.015"
"4240","287.9032"
"4288","287.6302"
"4320","286.2039"
"4368","283.6396"
"4416","279.9679"
"4448","275.245"
"4496","269.5504"
"4528","262.974"
"4576","255.6098"
"4624","247.5539"
"4656","238.9009"
"4704","229.7451"
"4736","220.1831"
"4784","210.313"
"4832","200.2351"
"4864","190.0562"
"4912","179.8909"
"4944","169.8571"
"4992","160.0708"
"5040","150.6398"
"5072","141.6551"
"5120","133.1866"
"5168","125.2928"
"5200","118.0327"
"5248","111.4728"
"5280","105.6856"
"5328","100.7382"
"5376","96.68051"
"5408","93.54044"
"5456","91.3268"
"5488","90.03858"
"5536","89.6749"
"5584","90.23726"
"5616","91.72454"
"5664","94.12885"
"5696","97.4366"
"5744","101.6313"
"5792","106.6901"
"5824","112.5766"
"5872","119.2376"
"5904","126.6093"
"5952","134.6206"
"6000","143.192"
"6032","152.2374"
"6080","161.6703"
"6112","171.4037"
"6160","181.3446"
"6208","191.3941"
"6240","201.4504"
"6288","211.4084"
"6320","221.1604"
"6368","230.5971"
"6416","239.6076"
"6448","248.0747"
"6496","255.878"
"6528","262.9082"
"6576","269.0793"
"6624","274.3289"
"6656","278.6093"
"6704","281.8761"
"6736","284.0883"
"6784","285.2166"
"6832","285.2472"
"6864","284.1779"
"6912","282.016"
"6960","278.783"
"6992","274.52"
"7040","269.286"
"7072","263.1482"
"7120","256.179"
"7168","248.4589"
"7200","240.0762"
"7248","231.126"
"7280","221.7121"
"7328","211.9442"
"7376","201.9369"
"7408","191.815"
"7456","181.7101"
"7488","171.7433"
"7536","162.0165"
"7584","152.619"
"7616","143.6358"
"7664","135.146"
"7696","127.223"
"7744","119.9397"
"7792","113.3647"
"7824","107.5538"
"7872","102.5497"
"7904","98.38344"
"7952","95.07851"
"8000","92.65616"
"8032","91.13821"
"8080","90.54516"
"8112","90.8923"
"8160","92.18298"
"8208","94.4063"
"8240","97.54309"
"8288","101.5685"
"8320","106.4479"
"8368","112.137"
"8416","118.587"
"8448","125.746"
"8496","133.5524"
"8528","141.9302"
"8576","150.7965"
"8624","160.0685"
"8656","169.6621"
"8704","179.4897"
"8752","189.4569"
"8784","199.4604"
"8832","209.3901"
"8864","219.1329"
"8912","228.5768"
"8960","237.6109"
"8992","246.1207"
"9040","253.9897"
"9072","261.1107"
"9120","267.3937"
"9168","272.7655"
"9200","277.1692"
"9248","280.5663"
"9280","282.9325"
"9328","284.2515"
"9376","284.5166"
"9408","283.7262"
"9456","281.8751"
"9488","278.9577"
"9536","274.983"
"9584","269.9851"
"9616","264.0234"
"9664","257.1807"
"9696","249.5572"
"9744","241.2609"
"9792","232.4001"
"9824","223.0828"
"9872","213.4209"
"9904","203.5311"
"9952","193.5296"
"10000","183.5255"
"10032","173.6175"
"10080","163.8954"
"10112","154.448"
"10160","145.3703"
"10208","136.7616"
"10240","128.7146"
"10288","121.3077"
"10320","114.606"
"10368","108.6649"
"10416","103.5301"
"10448","99.23599"
"10496","95.80976"
"10528","93.27328"
"10576","91.64196"
"10624","90.92269"
"10656","91.10995"
"10704","92.18813"
"10752","94.14426"
"10784","96.97541"
"10832","100.6791"
"10864","105.2397"
"10912","110.6283"
"10960","116.8078"
"10992","123.7293"
"11040","131.3264"
"11072","139.5183"
"11120","148.2184"
"11168","157.3408"
"11200","166.8023"
"11248","176.5169"
"11280","186.3889"
"11328","196.314"
"11376","206.187"
"11408","215.9065"
"11456","225.3694"
"11488","234.4648"
"11536","243.0755"
"11584","251.0882"
"11616","258.4019"
"11664","264.9301"
"11696","270.5995"
"11744","275.346"
"11792","279.1103"
"11824","281.8403"
"11872","283.4998"
"11904","284.0714"
"11952","283.5507"
"12000","281.942"
"12032","279.26"
"12080","275.532"
"12112","270.7969"
"12160","265.1067"
"12208","258.5316"
"12240","251.1572"
"12288","243.0789"
"12320","234.4022"
"12368","225.2437"
