"Time (ms)","Trajectory 1"
"42896","-43.07258"
"42928","-30.87958"
"42960","-18.6672"
"42992","-6.449353"
"43040","5.755746"
"43072","17.91107"
"43104","29.96086"
"43136","41.83965"
"43168","53.47837"
"43200","64.80314"
"43232","75.73373"
"43264","86.18695"
"43296","96.07848"
"43328","105.3216"
"43360","113.8307"
"43392","121.5276"
"43440","128.345"
"43472","134.2321"
"43504","139.1695"
"43536","143.1849"
"43568","146.3505"
"43600","148.7563"
"43632","150.4837"
"43664","151.5985"
"43696","152.148"
"43728","152.1511"
"43760","151.5871"
"43792","150.3864"
"43840","148.4273"
"43872","145.5504"
"43904","141.6059"
"43936","136.518"
"43968","130.3104"
"44000","123.0718"
"44032","114.9144"
"44064","105.955"
"44096","96.30933"
"44128","86.08861"
"44160","75.39587"
"44192","64.323"
"44240","52.94926"
"44273","41.34269"
"44304","29.56342"
"44336","17.66889"
"44368","5.720738"
"44400","-6.211074"
"44432","-18.04919"
"44464","-29.71285"
"44496","-41.12297"
"44528","-52.2044"
"44560","-62.88365"
"44592","-73.08723"
"44640","-82.74317"
"44672","-91.78405"
"44704","-100.1493"
"44736","-107.7847"
"44769","-114.6416"
"44800","-120.6794"
"44832","-125.8691"
"44864","-130.1926"
"44896","-133.638"
"44928","-136.1971"
"44960","-137.8649"
"44992","-138.638"
"45040","-138.5081"
"45072","-137.4576"
"45104","-135.4643"
"45136","-132.5152"
"45168","-128.6154"
"45200","-123.7883"
"45232","-118.0716"
"45264","-111.512"
"45296","-104.1636"
"45329","-96.08646"
"45360","-87.34225"
"45392","-77.98911"
"45440","-68.08056"
"45472","-57.66833"
"45505","-46.80732"
"45536","-35.56059"
"45568","-24.00227"
"45600","-12.21608"
"45632","-0.2891561"
"45664","11.6951"
"45696","23.6611"
"45728","35.54065"
"45760","47.26624"
"45792","58.76297"
"45840","69.94862"
"45872","80.73985"
"45904","91.05613"
"45936","100.8197"
"45968","109.9547"
"46000","118.3878"
"46032","126.0516"
"46064","132.8885"
"46096","138.8566"
"46128","143.9411"
"46160","148.1582"
"46192","151.5401"
"46240","154.1147"
"46272","155.8961"
"46304","156.8836"
"46336","157.0675"
"46368","156.4342"
"46400","154.9619"
"46433","152.6124"
"46464","149.3346"
"46496","145.0903"
"46528","139.8808"
"46560","133.7493"
"46592","126.7624"
"46640","118.9958"
"46672","110.5278"
"46704","101.4316"
"46736","91.76833"
"46768","81.5897"
"46800","70.94752"
"46832","59.89931"
"46864","48.50795"
"46896","36.84232"
"46928","24.97898"
"46960","13.00008"
"46992","0.9891584"
"47040","-10.97109"
"47072","-22.79992"
"47104","-34.41916"
"47136","-45.75169"
"47168","-56.72077"
"47200","-67.25291"
"47232","-77.27808"
"47264","-86.72519"
"47296","-95.5225"
"47328","-103.6053"
"47360","-110.9224"
"47392","-117.4356"
"47440","-123.1187"
"47472","-127.9545"
"47504","-131.931"
"47536","-135.0386"
"47568","-137.2687"
"47600","-138.612"
"47632","-139.0596"
"47664","-138.6062"
"47696","-137.2525"
"47728","-135.0027"
"47760","-131.8619"
"47792","-127.8357"
"47840","-122.9334"
"47873","-117.1709"
"47904","-110.5767"
"47936","-103.1957"
"47968","-95.0857"
"48000","-86.30679"
"48032","-76.91557"
"48064","-66.96513"
"48096","-56.50935"
"48128","-45.60912"
"48160","-34.33653"
"48192","-22.77203"
"48240","-10.9993"
"48272","0.8961631"
"48304","12.82764"
"48336","24.71023"
"48368","36.46471"
"48400","48.02093"
"48432","59.31656"
"48464","70.28931"
"48496","80.86972"
"48528","90.98114"
"48560","100.5452"
"48592","109.4882"
"48640","117.7473"
"48672","125.2709"
"48704","132.013"
"48736","137.9286"
"48768","142.9816"
"48800","147.16"
"48832","150.4792"
"48864","152.9632"
"48896","154.626"
"48928","155.4723"
"48960","155.5026"
"48992","154.7078"
"49040","153.0622"
"49073","150.5256"
"49105","147.054"
"49136","142.6158"
"49168","137.2142"
"49200","130.8988"
"49232","123.7471"
"49264","115.8384"
"49296","107.244"
"49328","98.02921"
"49360","88.25611"
"49392","77.98296"
"49440","67.2642"
"49472","56.15247"
"49504","44.7057"
"49536","32.99467"
"49568","21.10209"
"49600","9.115094"
"49632","-2.880124"
"49664","-14.80028"
"49696","-26.56658"
"49728","-38.10672"
"49760","-49.35331"
"49792","-60.23672"
"49840","-70.67973"
