"Time (ms)","Trajectory 1"
"0","1.378471"
"48","8.448176"
"80","16.93664"
"128","27.84968"
"208","41.57373"
"256","58.02433"
"288","76.90747"
"336","97.91148"
"384","120.7154"
"416","144.9064"
"464","169.9902"
"496","195.4826"
"544","220.946"
"592","245.9801"
"624","270.2403"
"672","293.443"
"704","315.32"
"752","335.5695"
"800","353.8415"
"832","369.7801"
"880","383.1061"
"912","393.6451"
"960","401.2606"
"1008","405.7944"
"1040","407.1004"
"1088","405.1062"
"1120","399.8296"
"1168","391.3731"
"1216","379.9137"
"1248","365.6772"
"1296","348.9031"
"1328","329.8417"
"1376","308.7869"
"1424","286.067"
"1456","262.0036"
"1504","236.933"
"1536","211.2609"
"1584","185.4592"
"1632","160.0185"
"1664","135.4222"
"1712","112.1276"
"1744","90.49281"
"1792","70.72598"
"1840","52.96795"
"1872","37.41348"
"1920","24.32435"
"1952","13.95312"
"2000","6.458136"
"2048","1.872191"
"2080","0.164891"
"2128","1.327368"
"2176","5.380803"
"2208","12.33441"
"2256","22.16354"
"2288","34.80835"
"2336","50.15549"
"2385","68.00498"
"2416","88.04771"
"2464","109.8861"
"2496","133.1161"
"2544","157.394"
"2592","182.4136"
"2624","207.8599"
"2672","233.4137"
"2704","258.7616"
"2752","283.5166"
"2800","307.1127"
"2832","328.8858"
"2880","348.3279"
"2912","365.1976"
"2960","379.3988"
"3008","390.8593"
"3040","399.5156"
"3088","405.3169"
"3120","408.1992"
"3168","408.0794"
"3216","404.8927"
"3248","398.65"
"3296","389.4834"
"3328","377.6186"
"3376","363.2775"
"3424","346.6099"
"3456","327.6763"
"3504","306.4537"
"3536","282.933"
"3584","257.3933"
"3632","230.6646"
"3664","203.9152"
"3712","178.0458"
"3744","153.4254"
"3792","130.15"
"3840","108.3292"
"3872","88.14549"
"3920","69.79984"
"3952","53.47184"
"4000","39.34591"
"4048","27.65293"
"4080","18.62706"
"4128","12.41634"
"4176","9.064731"
"4208","8.559965"
"4256","10.87429"
"4288","15.9952"
"4336","23.95065"
"4384","34.75819"
"4416","48.32064"
"4464","64.3994"
"4496","82.68323"
"4544","102.888"
"4592","124.8207"
"4624","148.339"
"4672","173.2374"
