"Time (ms)","Trajectory 1"
"0","174.7211"
"48","168.1214"
"96","161.7472"
"128","155.8003"
"208","150.4251"
"256","145.7048"
"304","141.6795"
"336","138.3716"
"384","135.8036"
"416","134.0011"
"464","132.9839"
"512","132.7565"
"544","133.3091"
"592","134.6286"
"624","136.7088"
"672","139.5452"
"720","143.118"
"752","147.3788"
"800","152.2598"
"848","157.6956"
"880","163.6341"
"928","170.0296"
"960","176.8318"
"1008","183.9782"
"1056","191.3923"
"1088","198.9931"
"1136","206.7121"
"1168","214.4968"
"1216","222.29"
"1264","230.0046"
"1296","237.5195"
"1344","244.6983"
"1376","251.4182"
"1424","257.5867"
"1472","263.1343"
"1504","267.9934"
"1552","272.0848"
"1584","275.3259"
"1632","277.6477"
"1680","279.0022"
"1712","279.3634"
"1760","278.7292"
"1792","277.1188"
"1840","274.568"
"1888","271.1314"
"1920","266.884"
"1968","261.9145"
"2000","256.3097"
"2048","250.1415"
"2096","243.4713"
"2128","236.3677"
"2176","228.915"
"2208","221.2053"
"2256","213.3241"
"2304","205.3486"
"2336","197.3625"
"2384","189.4678"
"2416","181.785"
"2464","174.4416"
"2512","167.5517"
"2544","161.193"
"2592","155.4015"
"2624","150.1898"
"2672","145.5741"
"2720","141.588"
"2752","138.2759"
"2800","135.679"
"2848","133.8246"
"2880","132.7282"
"2928","132.3997"
"2960","132.8492"
"3008","134.0883"
"3056","136.1201"
"3088","138.928"
"3136","142.4739"
"3168","146.708"
"3216","151.5802"
"3264","157.0428"
"3296","163.0435"
"3344","169.518"
"3376","176.3914"
"3424","183.5909"
"3472","191.0527"
"3504","198.7146"
"3552","206.5042"
"3584","214.3309"
"3632","222.0899"
"3680","229.6817"
"3712","237.0228"
"3760","244.034"
"3792","250.6251"
"3840","256.6925"
"3888","262.1292"
"3920","266.8403"
"3968","270.7589"
"4000","273.8466"
"4048","276.0749"
"4096","277.4083"
"4128","277.8071"
"4176","277.2474"
"4208","275.7373"
"4256","273.3121"
"4304","270.0216"
"4336","265.9192"
"4384","261.0545"
"4416","255.4785"
"4464","249.2576"
"4512","242.4809"
"4544","235.2549"
"4592","227.6895"
"4624","219.8846"
"4672","211.931"
"4720","203.9234"
"4752","195.9668"
"4800","188.1652"
"4848","180.6071"
"4880","173.366"
"4928","166.5143"
"4960","160.1327"
"5008","154.3017"
"5056","149.0833"
"5088","144.5114"
"5136","140.6016"
"5168","137.3676"
"5216","134.8312"
"5264","133.0208"
"5296","131.9601"
"5344","131.6592"
"5376","132.1142"
"5424","133.3104"
"5472","135.2303"
"5504","137.866"
"5552","141.2203"
"5584","145.2901"
"5632","150.0468"
"5680","155.4326"
"5712","161.3751"
"5760","167.8051"
"5792","174.6628"
"5840","181.8924"
"5888","189.4322"
"5920","197.2019"
"5968","205.0941"
"6000","212.9893"
"6048","220.7832"
"6096","228.3933"
"6128","235.7378"
"6176","242.7184"
"6208","249.2262"
"6256","255.1584"
"6304","260.4337"
"6336","264.9959"
"6384","268.8008"
"6416","271.8013"
"6464","273.9459"
"6512","275.1921"
"6544","275.5232"
"6592","274.9495"
"6640","273.4935"
"6672","271.1785"
"6720","268.0241"
"6752","264.0545"
"6800","259.3157"
"6848","253.8848"
"6880","247.8581"
"6928","241.3307"
"6960","234.3827"
"7008","227.0828"
"7056","219.5072"
"7088","211.7529"
"7136","203.9307"
"7168","196.15"
"7216","188.5069"
"7264","181.0874"
"7296","173.9827"
"7344","167.2927"
"7376","161.1094"
"7424","155.4975"
"7472","150.4879"
"7504","146.0882"
"7552","142.308"
"7584","139.1768"
"7632","136.7366"
"7680","135.0245"
"7712","134.0633"
"7760","133.8584"
"7792","134.399"
"7840","135.6681"
"7888","137.6531"
"7920","140.3445"
"7968","143.725"
"8000","147.7614"
"8048","152.4097"
"8096","157.6261"
"8128","163.3719"
"8176","169.6035"
"8208","176.2626"
"8256","183.275"
"8304","190.5587"
"8336","198.0346"
"8384","205.6266"
"8416","213.2536"
"8464","220.8218"
"8512","228.2238"
"8544","235.3499"
"8592","242.1066"
"8640","248.4238"
"8672","254.2399"
"8720","259.4792"
"8752","264.0496"
"8800","267.8674"
"8848","270.8797"
"8880","273.0623"
"8928","274.3985"
"8960","274.8679"
"9008","274.4496"
"9056","273.1295"
"9088","270.9113"
"9136","267.8302"
"9168","263.9492"
"9216","259.338"
"9264","254.0544"
"9296","248.1501"
"9344","241.6918"
"9376","234.7693"
