"Time (ms)","Trajectory 1"
"0","121.5157"
"32","132.1401"
"80","142.9079"
"112","153.9745"
"208","165.4073"
"240","177.1935"
"288","189.2624"
"320","201.5023"
"368","213.7643"
"416","225.8703"
"448","237.6307"
"496","248.8606"
"528","259.3869"
"576","269.0525"
"624","277.7152"
"656","285.2455"
"704","291.5343"
"736","296.5059"
"784","300.1179"
"832","302.3489"
"864","303.1898"
"912","302.64"
"944","300.7051"
"992","297.4012"
"1040","292.7646"
"1072","286.8552"
"1120","279.7486"
"1168","271.5304"
"1200","262.3012"
"1248","252.1859"
"1280","241.3311"
"1328","229.898"
"1376","218.0589"
"1408","205.9888"
"1456","193.8548"
"1488","181.8145"
"1536","170.0212"
"1584","158.6256"
"1616","147.779"
"1664","137.6386"
"1696","128.3689"
"1744","120.1302"
"1792","113.0619"
"1824","107.2758"
"1872","102.8569"
"1904","99.86868"
"1952","98.35948"
"2000","98.35912"
"2032","99.86742"
"2080","102.8543"
"2112","107.2716"
"2160","113.0557"
"2208","120.1213"
"2240","128.3562"
"2288","137.621"
"2320","147.7563"
"2368","158.5993"
"2416","169.9954"
"2448","181.7963"
"2496","193.8539"
"2528","206.0169"
"2576","218.1275"
"2624","230.0138"
"2656","241.4886"
"2704","252.3618"
"2736","262.4627"
"2784","271.6529"
"2832","279.8236"
"2864","286.8832"
"2912","292.7472"
"2944","297.3358"
"2992","300.5853"
"3040","302.4592"
"3072","302.9504"
"3120","302.07"
"3168","299.8321"
"3200","296.2478"
"3248","291.3405"
"3280","285.1634"
"3328","277.7936"
"3376","269.3173"
"3408","259.83"
"3456","249.4479"
"3488","238.3115"
"3536","226.5914"
"3584","214.487"
"3616","202.2038"
"3664","189.9254"
"3696","177.8092"
"3744","165.9982"
"3792","154.6307"
"3824","143.8454"
"3872","133.7856"
"3904","124.6011"
"3952","116.4466"
"4000","109.4692"
"4033","103.7873"
"4080","99.48387"
"4112","96.61357"
"4160","95.21046"
"4208","95.29166"
"4240","96.85352"
"4288","99.87025"
"4320","104.3006"
"4368","110.0883"
"4416","117.1539"
"4448","125.3894"
"4496","134.657"
"4528","144.797"
"4576","155.6438"
"4624","167.0372"
"4656","178.8208"
"4704","190.836"
"4736","202.9205"
"4784","214.9089"
"4832","226.6321"
"4864","237.9209"
"4912","248.6099"
"4960","258.5412"
"4992","267.571"
"5040","275.5762"
"5072","282.4568"
"5120","288.1343"
"5168","292.5426"
"5200","295.6215"
"5248","297.3215"
"5280","297.6156"
"5328","296.5049"
"5376","294.0144"
"5408","290.1851"
"5456","285.0708"
"5488","278.7381"
"5536","271.2618"
"5584","262.7292"
"5616","253.2513"
"5664","242.965"
"5696","232.0263"
"5744","220.5945"
"5792","208.8263"
"5824","196.8797"
"5872","184.914"
"5904","173.0835"
"5952","161.5337"
"6000","150.4071"
"6032","139.8586"
"6080","130.0595"
"6112","121.1828"
"6160","113.3839"
"6208","106.7878"
"6240","101.4882"
"6288","97.55247"
"6320","95.02804"
"6368","93.95167"
"6416","94.34969"
"6448","96.22698"
"6496","99.5593"
"6528","104.2998"
"6576","110.3848"
"6624","117.7266"
"6656","126.2099"
"6704","135.6997"
"6736","146.0492"
"6784","157.1017"
"6832","168.6886"
"6864","180.6326"
"6912","192.7584"
"6960","204.9004"
"6992","216.8977"
"7040","228.5894"
"7072","239.8162"
"7120","250.4267"
"7168","260.281"
"7200","269.2464"
"7248","277.2003"
"7280","284.0436"
"7328","289.7034"
"7376","294.1172"
"7408","297.2216"
"7456","298.9568"
"7488","299.2775"
"7536","298.161"
"7584","295.6189"
"7616","291.7007"
"7664","286.4847"
"7696","280.0664"
"7744","272.5514"
"7792","264.0492"
"7824","254.6699"
"7872","244.5251"
"7904","233.7349"
"7952","222.4348"
"8000","210.7797"
"8032","198.9404"
"8080","187.0939"
"8112","175.4118"
"8160","164.0612"
"8208","153.2082"
"8240","143.0084"
"8288","133.5984"
"8320","125.1022"
"8368","117.6398"
"8416","111.3272"
"8448","106.2675"
"8496","102.5402"
"8528","100.2037"
"8576","99.30093"
"8624","99.85454"
"8656","101.8624"
"8704","105.3042"
